rank,title,pages,type,course,academic_year,rating,url,document_id
1,KENYA MEDICAL TRAINING COLLEGE NURSING FQE PAPER 1 - 10ᵗʰ JAN 2023,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/paper-1-fqe-2023/140069803?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,140069803
2,Traumatology II FQE Remedial Exam - Kenya Medical Training College,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/orthopaedic-technology/traumatology-remidial-1/127572678?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,127572678
3,Ortho Trauma Medicine FQE Remedial 5 - Kenya Medical Training College,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/orthopaedic-technology/ortrho-fqe-remidial-5-handy/127572693?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,127572693
4,Casting and Splinting FQE Remedial 1 - Kenya Medical Training College,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/orthopaedic-technology/casting-and-spling-fqe-remedial-1/127572706?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,127572706
5,FQE Compiled Nursing Questions (2010-2022) for Exam Preparation,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/fqe-2010-2022-2-2-fqe-compiled-questions-nursing/114952757?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,114952757
6,KMTC FQE 2025: Final Qualifying Exam for Diploma in Community Health Nursing,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/fqe-july-2025-combination-of-kmtc-fqe-2025/137108063?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,137108063
7,Final Qualifying Exam - Image Pattern Analysis (FQE IPA) Notes,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/radiography-and-imaging-sciences/fqe-ipa-1-rad/38546614?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,38546614
8,MIDWIFERY 2025 JANUARY FQE: MULTIPLE CHOICE QUESTIONS REVISION,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/2025-january-fqe-krchn-revision-document/127537915?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,127537915
9,KMTC EMT Semester 1 Most Asked FQE Questions & Answers,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/emergency-medical-technician/kmtc-emt-fqe-most-asked-qa/142776010?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,142776010
10,Statistics FQE Paper - Final Exam Revision for Health Records & IT,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/statistics-fqe-papers-revision/122820096?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,122820096
11,MN E FQE JAN 2025 - Monitoring and Evaluation Final Qualifying Exam Questions,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-information-technology/mn-e-fqe-jan-2025-monitoring-and-evaluation-fqe-2025-questions/116736461?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,116736461
12,"Final Exam Paper 2 (Midwifery), FQE, KECHN: 260 MCQs, 70 SAQs, 70 LAQs, Answers & Rationales",,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/paper-2midwifery-fqe-kechn-260-mcqs-70-saqs-70-laqs-answers-and-rationales-jan-2024-predictions/112490541?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,112490541
13,Fqe 2010-2022 Study Guide: Key Concepts and Insights,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/final-qualifying-exam/fqe-2010-2022-none/126417823?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,126417823
14,FQE 2024: Comprehensive Demographic Questions and Analysis,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/fqe-for-january-2024-fqe-questions/105307506?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,105307506
15,FQE Surgery 2021: A Comprehensive Overview of Surgical Techniques,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-medicine/fqe-surgery-2021/65987410?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,65987410
16,FQE Revision Papers - Comprehensive Study Materials for Exams,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/fqe-papers-study-materials-for-revision/41238558?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,41238558
17,Final Qualifying Examination (FQE) 2025: HRM for Diploma in Health Records,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-information-technology/jan-fqe-2025-hrm/116735085?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,116735085
18,Epidemiology Final Exam Paper: Diploma in Health Records Info Tech,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/epidemiology-fqe-papers/115804888?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,115804888
19,FQE 2022 PP1 - Nursing Practice Paper MCQs and Answers,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/fqe-2022-pp1-practice-paper/115158996?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,115158996
20,FQE Statistics Study Guide - JUNE 2023,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/fqe-statistics-june-2023/65252679?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,65252679
21,FQE pp02 - kMTC Nursing Overview and Key Concepts,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/final-qualifying-exam/fqe-pp02-kmtc-fqe-nursing/63652196?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,63652196
22,Final Qualifying Exam Paper: Health Statistics (DHRIT 2021),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-information-technology/statistics-fqe-papers-1-1/127439342?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,127439342
23,FQE Surgery Paper for Diploma in Clinical Medicine - June 2023,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-medicine/fqe-for-jun-july-2023-fqe-2023/115529047?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,115529047
24,FQE March 2018 Krchn Paper 4 Exam Review Notes,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/fqe-march-2018-krchn-paper-4/85045754?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,85045754
25,FQE Jan 2017 Paper 3 - Revision Qs for Module III (Final Exam),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/fqe-jan-2017-paper-3-revision-questions-on-fqe-module-iii/79303608?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,79303608
26,March 2018 FQE MED-SURG Exam Review (Paper 1),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/march-2018-fqe-med-surg-paper-1/74315739?queryID=8c46adfdac1bc645f061fdc85df2a2a1&origin=search-results,74315739
