rank,title,pages,type,course,academic_year,rating,url,document_id
1,KENYA MEDICAL TRAINING COLLEGE: CERTIFICATE IN HEALTH RECORDS & IT - HUMAN,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/human-pathologyb-paper/142347484?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,142347484
2,Nutrition in the Life Cycle: NUL 126 Course Notes for KMTC Certification,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nutrition-and-dietetics/5386-nutrition-in-the-life-cycle-notes-kmtc-certificate-in-nutrition-and-dietetics/76603258?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,76603258
3,HIV/AIDS & STIs CAT I for Certificate in Medical Engineering,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-engineering-technology/hiv-cat-certificate/115317552?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,115317552
4,HIS 106 - Health Information Systems Module 8 Overview and Insights,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/his-certificate-health-information-system-chapter-about-moh/99936734?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,99936734
5,General Medicine END SEM EXAM 1.2 Review Questions & Answers,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-medicine/general-medicine-end-sem-exam-12-certificate-reviewed-1/123625130?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,123625130
6,"Certificate in Public Health Year 2, Semester 2 Exam Paper 2.2.2",,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/public-health/1-paper-2-quez-certificate-year-2-semester-2-lugari/132523895?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,132523895
7,MS WORD and Excel Exam for Certificate class,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/ms-word-and-excel-exam-for-certificate-class/79640460?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,79640460
8,Anatomy and Physiology 1 Short Answers - Certificate HRI CAT,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-system-management/certificate-hri-anatomy-and-physiology-1-cat/72527142?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,72527142
9,PCC-PKSKEVLBB - Police Clearance Certificate Issuance Notice,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/pcc-pkskevlbb-police-clearance-certificate-wk/120588540?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,120588540
10,KMTC/QP-10/MCS Medical Examination Certificate for Students,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/certificate-of-medical-examination/65001526?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,65001526
11,KENYA MEDICAL TRAINING COLLEGE ORTHOPAEDIC TRAUMA MEDICINE FINAL EXAM PAPER,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/orthopaedic-technology/certificate-fqe-casting-paper-2/147544903?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,147544903
12,FQE certificate,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/fqe-certificate/84309412?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,84309412
13,Certificate of Completion for Diabetes in Children 188180(11),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/le-certificate-18818011/69407402?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,69407402
14,Vaccination certificate (hafwa),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/vaccination-certificate-hafwa/52019098?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,52019098
15,"HIS II Notes: Data Handling, Software & Ethical Issues - Cert 100858",,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/his-ii-notes-certificate-100858/144377708?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,144377708
16,Martha Graham's Night Journey: A Modern Feminist Perspective (M2),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-laboratory-science/martha-graham-module-2-activitiesbloomberg-market-concepts-certificateif-you-have-already/141428816?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,141428816
17,4 Key Differences in Nonprofit vs. For-Profit Accounting,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-laboratory-science/profit-2-module-2-activitiesbloomberg-market-concepts-certificateif-you-have-already/141428802?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,141428802
18,Nonprofit Accounting vs. Business Accounting: Key Differences Explained,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-laboratory-science/profit-13-module-2-activitiesbloomberg-market-concepts-certificateif-you-have-already/141428801?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,141428801
19,Key Differences Between Nonprofit and For-Profit Accounting (Profit 3 - Module,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-laboratory-science/profit-3-module-2-activitiesbloomberg-market-concepts-certificateif-you-have-already/141428812?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,141428812
20,Physical Geology - Metamorphic Rocks Overview (Janux),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-laboratory-science/physical-geology-module-2-activitiesbloomberg-market-concepts-certificateif-you-have-already/141428795?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,141428795
21,ASU 958: Presentation of Financial Statements of Entities Overview,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-laboratory-science/profit-10-module-2-activitiesbloomberg-market-concepts-certificateif-you-have-already/141428790?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,141428790
22,Nonreassuring Fetal Status - Understanding Causes & Diagnoses,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/fetal-status-certificate/64351500?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,64351500
23,Pharmacy AND Poison Board Enrolment Certificate,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/pharmaceutics-i/pharmacy-and-poison-board-enrolment-certificate/55992388?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,55992388
24,Vaccination certificate (rehema hamisi),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/vaccination-certificate-rehema-hamisi/52019102?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,52019102
25,Entrepreneurship Certificate-1: Key Concepts and Skills for Success,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/entrepreneurship-certificate-1/38992223?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,38992223
26,Registration Certificate FOR DIPLOMA COURSE IN HEALTH RECORDS.,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/registration-certificate-for-diploma-course-in-health-records/23938219?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,23938219
27,Life Skills CAT I Exam Paper - Certificate in Medical Engineering,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-engineering-technology/life-skills-cat-cert-cats/115317550?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,115317550
28,Final Qualifying Examination for Certificate in Health Records Management (HRM 2022),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-information-technology/hrm-revision-fqe-health-records-management/112584905?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,112584905
29,Community First Aid Exam - Certificate in Community Health CHHP 2024,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/community-first-aid-exam/113099651?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,113099651
30,Health Statistics Exam Paper: Certificate in Health Records & IT (2020),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/lecturer-notes/121023327?queryID=34977d4896b89695a63821ad8ed05e66&origin=search-results,121023327
1,Excel Practice Exercises for Certificate Course - September 2023,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/excel-exercises/92594832?queryID=32ffe64943b1f2807eb92db745a35268&origin=search-results,92594832
2,KENYA MEDICA TRAINING COLLEGE CERTIFICATE IN HEALTH RECORDS COMM SKILLS SEM EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/communication-skill-end-sem-exam/133728128?queryID=32ffe64943b1f2807eb92db745a35268&origin=search-results,133728128
3,CERTIFICATE IN CAREGIVING: Training Modules Overview,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/basic-life-supp-wps-office/132410507?queryID=32ffe64943b1f2807eb92db745a35268&origin=search-results,132410507
4,Health Statistics Final Exam - Certificate Year 2 - Dec 2017,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/health-statistics-exam-12-dec-2017/124079248?queryID=32ffe64943b1f2807eb92db745a35268&origin=search-results,124079248
5,COMM 301: Community Health Nursing Notes - Certificate Program Overview,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nursing-council-questions/comm-health-notes-above-document-are-larning-materials-for-certicicate-nursing-class-semester/90420528?queryID=32ffe64943b1f2807eb92db745a35268&origin=search-results,90420528
