rank,title,pages,type,course,academic_year,rating,url,document_id
1,KENYA MEDICAL TRAINING COLLEGE PSYCHOLOGY EXAM YEAR 1 SEM 1,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/human-psychology/year-1-sem-1-psychology-1/132718269?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,132718269
2,KENYA MEDICAL TRAINING COLLEGE PHARMACOLOGY QUIZ AND REVISION QUESTIONS,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/21-past-papers-1-revision-questions/99147117?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,99147117
3,L KENYA MEDICAL TRAINING COLLEGE DIPLOMA EXAM TIMETABLE 2025,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health/cam-scanner-09-08-2025-16/138715301?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,138715301
4,KENYA MEDICAL TRAINING COLLEGE PSYCHOLOGY EXAMINATION YEAR 1 SEM 1,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-psychology/129732975?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,129732975
5,Kenya Medical Training College: Health Statistics Exam Paper (Dip. Mar 2019),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/health-statistics/39502315?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,39502315
6,KENYA MEDICAL TRAINING COLLEGE KRCHN DERMATOLOGY EXAM MARCH 2013,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/fundamentals-of-nursing/dermatology/131992551?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,131992551
7,KENYA MEDICAL TRAINING COLLEGE KRCHN NUTRITION EXAM MARCH 2017,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nutrition-and-dietetics/nutrition-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718335?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,132718335
8,KENYA MEDICAL TRAINING COLLEGE KRCHN EPIDEMIOLOGY EXAM MARCH 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/fundamentals-of-nursing/epidemiology-1-epidemiology/131992568?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,131992568
9,KENYA MEDICAL TRAINING COLLEGE KRCHN EPIDEMIOLOGY EXAM NOTES,,,,,,https://www.studocu.com/en-us/document/gardner-webb-university/community-health/epidemiology-3-epidemiology-study-notes/129674525?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,129674525
10,KENYA MEDICAL TRAINING COLLEGE NURSING FINAL EXAM PAPER 1 2021,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/paper-1-fqe-2021-fqe/149336450?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,149336450
11,KENYA MEDICAL TRAINING COLLEGE KRCHN DERMATOLOGY EXAM NOTES MARCH 2012,,,,,,https://www.studocu.com/en-us/document/maseno-school-of-nursing/nursing/dermatology-good-notes/145752652?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,145752652
12,KENYA MEDICAL TRAINING COLLEGE NURSING SUPPLEMENTARY EXAM: COMMON CONDITIONS &,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-medicine/supplementary-common-cdns/142225281?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,142225281
13,KENYA MEDICAL TRAINING COLLEGE KRCHN NEUROLOGY EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/orthopaedic-nursing-medical-surgical-nursing/neurology-3-nursing-diploma/128466041?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,128466041
14,KENYA MEDICAL TRAINING COLLEGE KRCHN MIDWIFERY EXAMINATION NOTES 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/midwifery-to-enable-students-learn-more-on-pregnancy-breastfeeding-delivery-and-nutrition/150279347?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,150279347
15,KENYA MEDICAL TRAINING COLLEGE KRCHN NEUROLOGY EXAMINATION MARCH 2013,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-surgical/neurology-neurological-nursing/131653425?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,131653425
16,KENYA MEDICAL TRAINING COLLEGE KRCHN PAEDIATRIC CONDITIONS EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/paediatrics-3-nursing-diploma/128466044?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,128466044
17,KENYA MEDICAL TRAINING COLLEGE PSYCHOLOGY MID BLOCK EXAM SEPT 2012,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/human-psychology/mid-block-psychology-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718256?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,132718256
18,KENYA MEDICAL TRAINING COLLEGE KRCHN ORTHOPAEDIC NURSING EXAM SEPT 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/orthopedic-questions/127405370?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,127405370
19,Kenya Medical Training College End of Semester Exam Timetable 2025,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/hri-eose-february-2026-nice-work/126508047?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,126508047
20,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNICABLE DISEASES EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/communicable-diseases-1/144054095?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,144054095
21,KENYA MEDICAL TRAINING COLLEGE RESEARCH I SUPPLEMENTARY EXAM PAPER 2025,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-information-technology/research-upgrading-paper/142347491?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,142347491
22,KENYA MEDICAL TRAINING COLLEGE KRCHN LEADERSHIP & MANAGEMENT EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/leadership-and-management/137664350?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,137664350
23,KENYA MEDICAL TRAINING COLLEGE KRCHN Palliative HBC Exam March 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/palliative-hbc/129321175?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,129321175
24,KENYA MEDICAL TRAINING COLLEGE KRCHN ANATOMY & PHYSIOLOGY EXAM SEPT 2013,,,,,,https://www.studocu.com/en-us/document/sister-leonella-consolata-medical-college/nursing/anatomy-physiology-exams/126813838?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,126813838
25,KENYA MEDICAL TRAINING COLLEGE KRCHN TEACHING METHODOLOGY EXAM 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/teaching-methodology/126088797?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,126088797
26,KENYA MEDICAL TRAINING COLLEGE KRCHN SEM 2 EXAM SEPT 2014: SPECIALIZED,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/specialized-procedures/151757549?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,151757549
27,KENYA MEDICAL TRAINING COLLEGE KRCHN ORAL HEALTH EXAM SEM 1 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/oral-health-sep14-year-2-semester-2/132520441?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,132520441
28,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNICABLE DISEASES EXAM 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/communicable-diseases/144054081?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,144054081
29,KENYA MEDICAL TRAINING COLLEGE KRCHN ABNORMAL MIDWIFERY EXAM SEPT 2014,,,,,,https://www.studocu.com/en-us/document/karen-hospital-medical-training-college/nursing/abnormal-midwifery-good/143719846?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,143719846
30,KENYA MEDICAL TRAINING COLLEGE KRCHN VITAL STATISTICS EXAM MARCH 2013,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/vital-statistics/139357916?queryID=86ea59e8331d9bd3ce00be2b2ad0e417&origin=search-results,139357916
