rank,title,pages,type,course,academic_year,rating,url,document_id
1,"**Monitoring, Evaluation, and Reporting in Community Health - KMTC M&E Module**",,,,,,https://www.studocu.com/en-us/document/kabarak-university/nutrition-and-hiv/monitoring-evaluation-and-reporting-in-the-community/122004125?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,122004125
2,KMTC Community Health Research Report: Langalanga Sub-County 2024-2025,,,,,,https://www.studocu.com/en-us/document/egerton-university/child-health-introduction/kenya-medical-training-college-shelly/125211684?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,125211684
3,KMTC COMMUNITY HEALTH SECTION 1: MCQs FOR DIPLOMA LEVEL STUDY,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/community-health-diploma-level-notes/144641350?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,144641350
4,"Sociology Final Exam Notes - KMTC Community Health Program, Sept 2023",,,,,,https://www.studocu.com/en-us/document/amref-international-university/sociology/sociology-final-nice-document/129753154?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,129753154
5,KMTc Diploma Community Health Practical Assessment Checklist,,,,,,https://www.studocu.com/en-us/document/kisii-university/nadharia-ya-fasihi-arts-and-social-science/hpscan-20250627065038147-2025-06-27-065125765/132447262?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,132447262
6,Community Strategy and Public Health Overview - KMTC Sept 2009,,,,,,https://www.studocu.com/en-us/document/kisii-university/health-and-medicine/community-strategy-notes-1/103684682?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,103684682
7,COMMUNITY DIAGNOSIS REPORT: Health Assessment by KMTC Nursing Students,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/html-code-sth/130019618?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,130019618
8,KMTC Lugari Campus Community Health Supplementary Exam Questions,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-engineering-technology/community-health/139845401?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,139845401
9,KMTC Official Transcript for Community Health Nursing Diploma,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-pharmacy/kmtc-official-transcript/119484996?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,119484996
10,KAPENGURIA KMTC Year 1.1 Community Health Promotion Supplementary Exam,,,,,,https://www.studocu.com/en-us/document/mount-kenya-university/programming/community-health/140212243?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,140212243
11,KMTC/QP-07/TIS: Community Health End of Semester Exam - KRCHN 2014,,,,,,https://www.studocu.com/en-us/document/kenyatta-university/nursing/end-of-first-semester-community-health/93232014?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,93232014
12,KMTC C/UPCHA/22068 Community Health Practical Report (2023),,,,,,https://www.studocu.com/en-us/document/south-eastern-kenya-university/communication-skills/kangai-practical-report/60591671?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,60591671
13,KMTC Academic Transcript - Diploma in Community Health Nursing,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/kmtc-transcripts-i-am-a-previous-kmtc-student-who-needs-to-upgrade-the-level-of-education-to/122571654?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,122571654
14,KMTC - End of 1st Sem Community Health Exam - September 2013,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/end-of-first-semester-community-health/38342394?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,38342394
15,KMTC-2023: Admission Details for Community Health Assistant Course,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-assistant/kmtc-2023-to-know-more-about-community-health-assistant/124378237?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,124378237
16,KMTC FQE 2025: Final Qualifying Exam for Diploma in Community Health Nursing,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/fqe-july-2025-combination-of-kmtc-fqe-2025/137108063?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,137108063
17,Community Health Comprehensive Notes - KMT 101,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/community-health-full-notes/41238594?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,41238594
18,Community Health Nursing II - MCQs and School Health Program Insights,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/community-health-nursing-ii/93961748?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,93961748
19,Community Health Nursing: Principles & Family Health (CHN 101),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/community-health-1/35782700?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,35782700
20,Community Health Concepts and Disease Management - Nairobi Campus,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/community-health-nairobi-campus/31094096?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,31094096
21,COMMUNITY HEALTH NURSING 1: REVISION QUESTIONS FOR EXAM 1.1,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/community-health-1-revision-questions/132321235?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,132321235
22,Kenya Integrated Curriculum for Community Health Promoters 2025,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-assistant/kenya-integrated-curriculum-for-community-health-promoters-2025/133113061?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,133113061
23,Community Health Concepts & Nutrition Overview - Full Notes (CH101),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/community-health-full-notes/74793283?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,74793283
24,2023 Community Health FQE Analysis and Findings,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/clinical-medicine/community-health-fqe-june-2023/67322479?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,67322479
25,April 2023 Nck - Diploma Community health nursing,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/april-2023-nck-diploma-community-health-nursing/66291605?queryID=6e2e1cdfdaebefb7494392f3c4243ef7&origin=search-results,66291605
