rank,title,pages,type,course,academic_year,rating,url,document_id
1,Final Qualifying Exam for Community Health Nursing - FQE Kechn 2022,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/fundamentals-of-nursing/fqe-kechn-2022-community-health/123099799?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,123099799
2,KRCHN Community Health Nursing Final Exam Jan 2017 Paper Two PDF,,,,,,https://www.studocu.com/en-us/document/kenyatta-university/medicine/fqe-jan-2017-paper-2-pdf/117791256?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,117791256
3,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH END OF YEAR EXAM MARCH,,,,,,https://www.studocu.com/en-us/document/kisii-university/introduction-to-nursing/community-health-21/136697612?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,136697612
4,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH END OF YEAR EXAM MARCH,,,,,,https://www.studocu.com/en-us/document/kisii-university/introduction-to-nursing/community-health-copy/136697611?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,136697611
5,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH NOTES,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/community-health-notes/133639996?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,133639996
6,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH EXAM MARCH 2013,,,,,,https://www.studocu.com/en-us/document/maseno-university/nursing/community-health/128476425?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,128476425
7,KRCHN (UPGR) Community Health Case Study: Malnutrition in Children,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/chris-community-case-study-1/121573013?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,121573013
8,KRCHN Diploma Community Health Nursing Mock Exam Paper 2 - June 2025,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/paper-2-krchn-mock-exam/150195939?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,150195939
9,KRCHN Curriculum for Community Health Nursing: 2018 Edition,,,,,,https://www.studocu.com/en-us/document/university-of-nairobi/nursing/krchn-curriculum/98908881?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,98908881
10,Importing Cars vs. Buying Locally: A Cost-Effectiveness Analysis,,,,,,https://www.studocu.com/en-us/document/aic-kijabe-college-of-health-sciences/clininical-medicine-and-surgery/importing-cars-vs-buying-locally-which-is-more-cost-effective/131256728?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,131256728
11,Notes on How to Get the Best Car Dealership: Tips & Strategies,,,,,,https://www.studocu.com/en-us/document/aic-kijabe-college-of-health-sciences/clininical-medicine-and-surgery/notes-on-how-to-get-the-best-car-dealership/131256727?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,131256727
12,"Mazda vs Audi: Engineering, Luxury, and Value Comparison Essay",,,,,,https://www.studocu.com/en-us/document/aic-kijabe-college-of-health-sciences/kenya-registered-community-health-nursing/mazda-vs-audi-essay/131256726?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,131256726
13,Emerging Issues in Community Health: Challenges and Solutions,,,,,,https://www.studocu.com/en-us/document/leben-college-of-health-sciences-technology/community-health/emerging-issues-in-community-health/132155096?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,132155096
14,KRCHN Final Exam Paper 3 - Community Health - June 2017,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/final-qualifying-exam/fqe-paper-3-jun-2017/113766460?queryID=a2ddaddee85b120e9515aa4f2d6af50f&origin=search-results,113766460
