rank,title,pages,type,course,academic_year,rating,url,document_id
1,KRCHN Community Health Nursing Final Exam Jan 2017 Paper Two PDF,,,,,,https://www.studocu.com/en-us/document/kenyatta-university/medicine/fqe-jan-2017-paper-2-pdf/117791256?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,117791256
2,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH END OF YEAR EXAM MARCH,,,,,,https://www.studocu.com/en-us/document/kisii-university/introduction-to-nursing/community-health-21/136697612?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,136697612
3,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH END OF YEAR EXAM MARCH,,,,,,https://www.studocu.com/en-us/document/kisii-university/introduction-to-nursing/community-health-copy/136697611?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,136697611
4,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH NOTES,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/community-health-notes/133639996?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,133639996
5,KENYA MEDICAL TRAINING COLLEGE KRCHN COMMUNITY HEALTH EXAM MARCH 2013,,,,,,https://www.studocu.com/en-us/document/maseno-university/nursing/community-health/128476425?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,128476425
6,KRCHN (UPGR) Community Health Case Study: Malnutrition in Children,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/chris-community-case-study-1/121573013?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,121573013
7,KRCHN Diploma Community Health Nursing Mock Exam Paper 2 - June 2025,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/paper-2-krchn-mock-exam/150195939?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,150195939
8,KRCHN Curriculum for Community Health Nursing: 2018 Edition,,,,,,https://www.studocu.com/en-us/document/university-of-nairobi/nursing/krchn-curriculum/98908881?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,98908881
9,Importing Cars vs. Buying Locally: A Cost-Effectiveness Analysis,,,,,,https://www.studocu.com/en-us/document/aic-kijabe-college-of-health-sciences/clininical-medicine-and-surgery/importing-cars-vs-buying-locally-which-is-more-cost-effective/131256728?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,131256728
10,Notes on How to Get the Best Car Dealership: Tips & Strategies,,,,,,https://www.studocu.com/en-us/document/aic-kijabe-college-of-health-sciences/clininical-medicine-and-surgery/notes-on-how-to-get-the-best-car-dealership/131256727?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,131256727
11,"Mazda vs Audi: Engineering, Luxury, and Value Comparison Essay",,,,,,https://www.studocu.com/en-us/document/aic-kijabe-college-of-health-sciences/kenya-registered-community-health-nursing/mazda-vs-audi-essay/131256726?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,131256726
12,Emerging Issues in Community Health: Challenges and Solutions,,,,,,https://www.studocu.com/en-us/document/leben-college-of-health-sciences-technology/community-health/emerging-issues-in-community-health/132155096?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,132155096
13,KRCHN Final Exam Paper 3 - Community Health - June 2017,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/final-qualifying-exam/fqe-paper-3-jun-2017/113766460?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,113766460
14,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 COMMUNITY HEALTH EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/community-health-year-1-semester-1/149872704?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,149872704
15,KRCHN Final Exam Paper 3 - Community Health Nursing (June 2017),,,,,,https://www.studocu.com/en-us/document/thika-technical-training-institute/diploma-in-food-science-and-processing-technology/fqe-paper-3-jun-2017-1-its-good/107905925?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,107905925
16,Community Health Notes - March 2017 KRCHN Year One CA Exams,,,,,,https://www.studocu.com/en-us/document/university-of-embu/education-science/community-health-they-are-very-good-notes/99610455?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,99610455
17,KMTC/QP-07/TIS: Community Health End of Semester Exam - KRCHN 2014,,,,,,https://www.studocu.com/en-us/document/kenyatta-university/nursing/end-of-first-semester-community-health/93232014?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,93232014
18,FQE: General Paper for Diploma in Community Health Nursing - March 2018,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/fundamentals-of-nursing/fqe-march-2018-krchn-paper-4/123099863?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,123099863
19,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 ENVIRONMENTAL HEALTH EXAM 2015,,,,,,https://www.studocu.com/en-us/document/chuka-university/community-participation/year-1-sem-1-environmental-health-check-it-outcommunity-health/135156435?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,135156435
20,KRCHN Final Qualifying Exam Jan 2017 Paper 2: Community Health Nursing,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/final-qualifying-exam/fqe-jan-2017-paper-2/113766493?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,113766493
21,March 2023 KRCHN (B) Year 2 Semester 1 Teaching Timetable,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/march-2023-yr-2-sem-1/95602456?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,95602456
22,Final Qualifying Exam for Community Health Nursing - FQE Kechn 2022,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/fundamentals-of-nursing/fqe-kechn-2022-community-health/123099799?queryID=bc17c608d2bcd82f68e037f434947c90&origin=search-results,123099799
